location,bhk,areawithtype,area,built_up_area,transaction,status,floornum,totalfloor,furnishing,facing,price_per_sqft,price,latitude,longitude
chandkheda,1,Carpet Area,500,550,Resale,Ready to Move,6,11,Unfurnished,North - East,3194,0.23,23.1100643,72.5811205
narolgam/vatva/ghodasar,2,Carpet Area,527,580,Resale,Ready to Move,4,7,Unfurnished,East,2107,0.22,22.9641614,72.5903337
naroda/hansol,1,Super Area,450,450,Resale,Ready to Move,3,6,Unfurnished,East,2333,0.1,23.0854097,72.6580946
naroda/hansol,2,Carpet Area,920,1012,Resale,Ready to Move,2,5,Semi-Furnished,North,2611,0.27,23.0854097,72.6580946
narolgam/vatva/ghodasar,1,Carpet Area,657,723,Resale,Ready to Move,2,7,Unfurnished,East,3120,0.2,22.9641614,72.5903337
naroda/hansol,1,Carpet Area,80,88,Resale,Ready to Move,0,2,Unfurnished,North,3158,0.03,23.0854097,72.6580946
vastral/sardar patel ring rd/odhav,1,Super Area,657,657,Resale,Ready to Move,6,7,Unfurnished,East,3120,0.2,22.9948656,72.6624431
narolgam/vatva/ghodasar,2,Super Area,945,945,Resale,Ready to Move,4,5,Unfurnished,East,2857,0.27,22.9641614,72.5903337
gota/jagatpur/newranip/sola,1,Carpet Area,585,644,Resale,Ready to Move,5,12,Unfurnished,East,4833,0.29,23.1010002,72.5408363
narolgam/vatva/ghodasar,2,Carpet Area,504,554,Resale,Ready to Move,4,5,Furnished,East,1732,0.1,22.9641614,72.5903337
narolgam/vatva/ghodasar,1,Super Area,684,684,Resale,Ready to Move,3,5,Furnished,East,3070,0.21,22.9641614,72.5903337
narolgam/vatva/ghodasar,2,Super Area,1125,1125,Resale,Ready to Move,1,5,Semi-Furnished,West,2133,0.24,22.9641614,72.5903337
prahlad nagar/jivraj park/vejalpur/jodhpur,1,Super Area,700,700,Resale,Ready to Move,0,3,Semi-Furnished,East,3714,0.26,23.0002435,72.5054049
narolgam/vatva/ghodasar,1,Carpet Area,1170,1287,New Property,Ready to Move,4,8,Semi-Furnished,South - East,1026,0.12,22.9641614,72.5903337
vastral/sardar patel ring rd/odhav,1,Carpet Area,387,426,Resale,Ready to Move,6,7,Unfurnished,East,3117,0.23,22.9948656,72.6624431
narolgam/vatva/ghodasar,1,Carpet Area,540,594,Resale,Ready to Move,3,4,Unfurnished,North,4274,0.25,22.9641614,72.5903337
shahibag/khokhra/saraspur,3,Super Area,900,900,Resale,Ready to Move,1,2,Unfurnished,East,2778,0.25,23.0215,72.5788
hathijan,2,Super Area,1055,1055,Resale,Ready to Move,1,4,Furnished,East,1991,0.21,22.9411139,72.6674473
shahibag/khokhra/saraspur,1,Carpet Area,3645,4010,Resale,Ready to Move,1,3,Unfurnished,East,357,0.13,23.0215,72.5788
vastral/sardar patel ring rd/odhav,1,Super Area,639,639,Resale,Ready to Move,2,7,Unfurnished,North - East,3130,0.2,22.9948656,72.6624431
narolgam/vatva/ghodasar,1,Super Area,4536,4536,Resale,Ready to Move,3,5,Unfurnished,East,220,0.1,22.9641614,72.5903337
nikol,2,Super Area,936,936,Resale,Ready to Move,5,7,Unfurnished,East,2788,0.26,23.0589329,72.6718736720388
naroda/hansol,1,Super Area,6966,6966,Resale,Ready to Move,9,11,Unfurnished,East,273,0.19,23.0854097,72.6580946
vastral/sardar patel ring rd/odhav,1,Super Area,646,646,New Property,Ready to Move,12,14,Unfurnished,West,3250,0.21,22.9948656,72.6624431
narolgam/vatva/ghodasar,1,Carpet Area,80,88,Resale,Ready to Move,0,4,Unfurnished,East,3750,0.27,22.9641614,72.5903337
nikol,2,Carpet Area,900,990,Resale,Ready to Move,1,3,Furnished,East,2545,0.28,23.0589329,72.6718736720388
narolgam/vatva/ghodasar,2,Carpet Area,900,990,Resale,Ready to Move,1,5,Unfurnished,East,2311,0.26,22.9641614,72.5903337
changodar/bhat,1,Super Area,640,640,Resale,Ready to Move,1,5,Semi-Furnished,East,2812,0.18,22.9402206,72.4567127
narolgam/vatva/ghodasar,2,Super Area,918,918,Resale,Ready to Move,2,5,Unfurnished,North,2016,0.18,22.9641614,72.5903337
bopal/ghuma/shilaj/ambli,1,Super Area,425,425,Resale,Ready to Move,2,5,Unfurnished,East,6235,0.27,23.02353855,72.47052697610516
narolgam/vatva/ghodasar,1,Carpet Area,350,385,Resale,Ready to Move,2,7,Unfurnished,East,4286,0.15,22.9641614,72.5903337
narolgam/vatva/ghodasar,1,Super Area,600,600,Resale,Ready to Move,0,4,Unfurnished,East,2500,0.15,22.9641614,72.5903337
naroda/hansol,1,Carpet Area,810,891,Resale,Ready to Move,3,5,Furnished,East,3580,0.29,23.0854097,72.6580946
narolgam/vatva/ghodasar,1,Carpet Area,5670,6237,Resale,Ready to Move,1,4,Semi-Furnished,East,300,0.17,22.9641614,72.5903337
vastral/sardar patel ring rd/odhav,1,Carpet Area,550,605,Resale,Ready to Move,2,5,Unfurnished,East,3077,0.2,22.9948656,72.6624431
prahlad nagar/jivraj park/vejalpur/jodhpur,1,Super Area,576,576,Resale,Ready to Move,1,4,Semi-Furnished,East,4688,0.27,23.0002435,72.5054049
