location,bhk,areawithtype,area,built_up_area,transaction,status,floornum,totalfloor,furnishing,facing,price_per_sqft,price,latitude,longitude
gota/jagatpur/newranip/sola,2,Carpet Area,605,666,Resale,Ready to Move,2,5,Furnished,East,5909,0.65,23.1010002,72.5408363
bopal/ghuma/shilaj/ambli,3,Super Area,1485,1485,Resale,Ready to Move,1,13,Unfurnished,North,4579,0.68,23.02353855,72.47052697610516
zundal,3,Carpet Area,1150,1265,New Property,Under Construction,8,12,Unfurnished,East,3666,0.68,23.1309,72.5852
chharodi/tragad,3,Carpet Area,1035,1138,Resale,Ready to Move,4,5,Furnished,North - East,4254,0.67,23.12295955,72.54044594045365
bopal/ghuma/shilaj/ambli,2,Carpet Area,900,990,Resale,Ready to Move,3,10,Semi-Furnished,East,5159,0.65,23.02353855,72.47052697610516
chandkheda,3,Carpet Area,1080,1188,New Property,Ready to Move,4,13,Unfurnished,East,3778,0.68,23.1100643,72.5811205
zundal,3,Carpet Area,955,1050,New Property,Under Construction,4,13,Unfurnished,East,3550,0.66,23.1309,72.5852
gota/jagatpur/newranip/sola,2,Carpet Area,1258,1384,Resale,Ready to Move,3,5,Furnished,East,5246,0.66,23.1010002,72.5408363
bopal/ghuma/shilaj/ambli,2,Carpet Area,725,798,Resale,Ready to Move,7,14,Unfurnished,East,5485,0.65,23.02353855,72.47052697610516
bodakdev/satellite/sindhubhavan marg,3,Carpet Area,918,1010,Resale,Ready to Move,6,10,Furnished,North,4963,0.67,23.0445921,72.517344
shela,3,Super Area,1655,1655,New Property,Ready to Move,7,14,Unfurnished,East,3927,0.65,23.01313705,72.45356756504998
zundal,3,Carpet Area,781,859,Resale,Ready to Move,6,7,Furnished,East,4301,0.65,23.1309,72.5852
prahlad nagar/jivraj park/vejalpur/jodhpur,2,Carpet Area,1030,1133,Resale,Ready to Move,3,5,Semi-Furnished,West,5867,0.66,23.0002435,72.5054049
vaishnodevi circle,2,Carpet Area,698,768,New Property,Under Construction,4,22,Unfurnished,North - West,5519,0.67,23.0428,72.5964
zundal,3,Carpet Area,1845,2030,New Property,Under Construction,2,13,Unfurnished,North,3550,0.66,23.1309,72.5852
navrangpura/memnagar/ellisbridge,3,Carpet Area,1125,1238,Resale,Ready to Move,7,10,Semi-Furnished,East,4558,0.64,23.0359998,72.5643429
chharodi/tragad,3,Carpet Area,1845,2030,Resale,Other,3,12,Unfurnished,East,3667,0.68,23.12295955,72.54044594045365
gota/jagatpur/newranip/sola,2,Carpet Area,130,143,Resale,Ready to Move,4,13,Furnished,East,5556,0.65,23.1010002,72.5408363
bopal/ghuma/shilaj/ambli,3,Carpet Area,874,961,Resale,Ready to Move,1,14,Unfurnished,East,4942,0.68,23.02353855,72.47052697610516
bopal/ghuma/shilaj/ambli,2,Carpet Area,860,946,Resale,Ready to Move,5,10,Semi-Furnished,East,4561,0.65,23.02353855,72.47052697610516
paldi/derasar-rd/ambawadi,2,Carpet Area,600,660,Resale,Ready to Move,2,6,Unfurnished,North - East,5051,0.65,23.0145531,72.5635432
zundal,3,Carpet Area,1015,1116,New Property,Under Construction,5,13,Unfurnished,East,3610,0.67,23.1309,72.5852
bodakdev/satellite/sindhubhavan marg,2,Carpet Area,680,748,Resale,Ready to Move,7,9,Furnished,East,6019,0.65,23.0445921,72.517344
bopal/ghuma/shilaj/ambli,3,Carpet Area,840,924,Resale,Ready to Move,7,13,Unfurnished,West,4514,0.65,23.02353855,72.47052697610516
motera,3,Super Area,1260,1260,Resale,Ready to Move,2,7,Semi-Furnished,East,5317,0.67,23.0917717,72.59733447335586
bopal/ghuma/shilaj/ambli,3,Super Area,1376,1376,Resale,Ready to Move,4,14,Semi-Furnished,East,4942,0.68,23.02353855,72.47052697610516
makarba/sarkhej,2,Carpet Area,720,792,Resale,Ready to Move,2,7,Semi-Furnished,East,5909,0.65,22.996342,72.5043085
gota/jagatpur/newranip/sola,3,Carpet Area,704,774,New Property,Under Construction,8,14,Unfurnished,East,4815,0.65,23.1010002,72.5408363
vaishnodevi circle,2,Carpet Area,680,748,Resale,Ready to Move,-1,12,Semi-Furnished,East,5737,0.65,23.0428,72.5964
vaishnodevi circle,3,Carpet Area,1098,1208,New Property,Under Construction,5,14,Unfurnished,East,3800,0.68,23.0428,72.5964
bopal/ghuma/shilaj/ambli,3,Carpet Area,1759,1935,Resale,Other,5,14,Unfurnished,East,3858,0.68,23.02353855,72.47052697610516
gota/jagatpur/newranip/sola,3,Super Area,1489,1489,New Property,Under Construction,8,10,Unfurnished,East,4300,0.64,23.1010002,72.5408363
shela,3,Super Area,1760,1760,New Property,Under Construction,7,14,Unfurnished,North,3693,0.65,23.01313705,72.45356756504998
shela,3,Carpet Area,865,952,New Property,Ready to Move,8,14,Unfurnished,East,4439,0.66,23.01313705,72.45356756504998
zundal,3,Carpet Area,108,119,New Property,Under Construction,11,14,Unfurnished,East,3611,0.67,23.1309,72.5852
shela,3,Carpet Area,940,1034,New Property,Under Construction,4,14,Unfurnished,East,3800,0.67,23.01313705,72.45356756504998
gota/jagatpur/newranip/sola,2,Super Area,1280,1280,New Property,Under Construction,5,12,Unfurnished,East,5000,0.64,23.1010002,72.5408363
zundal,3,Carpet Area,1050,1155,New Property,Under Construction,7,14,Unfurnished,East,3586,0.66,23.1309,72.5852
shela,3,Carpet Area,923,1015,New Property,Under Construction,5,14,Unfurnished,East,3700,0.64,23.01313705,72.45356756504998
zundal,3,Carpet Area,1008,1109,New Property,Under Construction,8,14,Unfurnished,West,3631,0.67,23.1309,72.5852
shela,3,Carpet Area,816,898,New Property,Under Construction,9,14,Unfurnished,East,4305,0.65,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Super Area,1485,1485,New Property,Ready to Move,9,13,Unfurnished,North - East,4377,0.65,23.02353855,72.47052697610516
gota/jagatpur/newranip/sola,2,Carpet Area,90,99,Resale,Other,8,12,Unfurnished,East,4889,0.66,23.1010002,72.5408363
gota/jagatpur/newranip/sola,3,Super Area,1372,1372,Resale,Ready to Move,10,12,Unfurnished,North,4738,0.65,23.1010002,72.5408363
shela,3,Carpet Area,968,1065,New Property,Under Construction,9,14,Unfurnished,East,3700,0.65,23.01313705,72.45356756504998
chharodi/tragad,2,Carpet Area,846,931,New Property,Under Construction,4,14,Unfurnished,North - East,4389,0.68,23.12295955,72.54044594045365
paldi/derasar-rd/ambawadi,2,Carpet Area,765,842,Resale,Ready to Move,6,7,Semi-Furnished,East,5597,0.68,23.0145531,72.5635432
shela,3,Carpet Area,962,1058,New Property,Under Construction,15,22,Unfurnished,East,3900,0.68,23.01313705,72.45356756504998
shela,3,Super Area,1750,1750,New Property,Under Construction,7,14,Unfurnished,East,3886,0.68,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Carpet Area,950,1045,New Property,Ready to Move,5,10,Unfurnished,East,4570,0.69,23.02353855,72.47052697610516
bopal/ghuma/shilaj/ambli,3,Super Area,1750,1750,New Property,Under Construction,8,14,Unfurnished,East,3800,0.67,23.02353855,72.47052697610516
shela,3,Carpet Area,968,1065,New Property,Under Construction,11,14,Unfurnished,East,3710,0.64,23.01313705,72.45356756504998
shela,3,Carpet Area,926,1019,New Property,Under Construction,5,21,Unfurnished,West,3800,0.65,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Carpet Area,840,924,New Property,Under Construction,4,14,Unfurnished,East,4314,0.66,23.02353855,72.47052697610516
vaishnodevi circle,3,Carpet Area,968,1065,New Property,Under Construction,2,14,Unfurnished,East,3469,0.64,23.0428,72.5964
gota/jagatpur/newranip/sola,2,Carpet Area,850,935,Resale,Ready to Move,9,12,Unfurnished,East,5118,0.65,23.1010002,72.5408363
bopal/ghuma/shilaj/ambli,3,Super Area,1330,1330,Resale,Ready to Move,6,14,Semi-Furnished,East,4887,0.65,23.02353855,72.47052697610516
bopal/ghuma/shilaj/ambli,3,Super Area,1830,1830,New Property,Under Construction,5,21,Unfurnished,East,3497,0.64,23.02353855,72.47052697610516
shela,3,Carpet Area,968,1065,New Property,Under Construction,9,14,Unfurnished,East,3800,0.67,23.01313705,72.45356756504998
shela,3,Carpet Area,960,1056,New Property,Under Construction,7,14,Unfurnished,East,3800,0.67,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Super Area,1530,1530,New Property,Under Construction,5,14,Unfurnished,East,4500,0.69,23.02353855,72.47052697610516
bopal/ghuma/shilaj/ambli,3,Super Area,1700,1700,New Property,Under Construction,7,14,Unfurnished,North - East,3824,0.65,23.02353855,72.47052697610516
shela,3,Carpet Area,1021,1123,New Property,Under Construction,6,21,Unfurnished,East,3750,0.66,23.01313705,72.45356756504998
zundal,3,Carpet Area,1014,1115,New Property,Under Construction,8,14,Unfurnished,East,3660,0.68,23.1309,72.5852
bopal/ghuma/shilaj/ambli,3,Carpet Area,970,1067,New Property,Under Construction,11,14,Unfurnished,East,3850,0.66,23.02353855,72.47052697610516
shela,3,Carpet Area,836,920,New Property,Under Construction,2,14,Unfurnished,East,3800,0.66,23.01313705,72.45356756504998
shela,3,Carpet Area,808,889,New Property,Under Construction,9,14,Unfurnished,North,4422,0.65,23.01313705,72.45356756504998
shela,3,Carpet Area,948,1043,New Property,Under Construction,6,14,Unfurnished,East,4000,0.69,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Carpet Area,1750,1925,New Property,Under Construction,5,14,Unfurnished,East,3657,0.64,23.02353855,72.47052697610516
bopal/ghuma/shilaj/ambli,3,Carpet Area,910,1001,New Property,Under Construction,5,14,Unfurnished,North - East,3800,0.67,23.02353855,72.47052697610516
bopal/ghuma/shilaj/ambli,3,Carpet Area,860,946,New Property,Ready to Move,4,14,Unfurnished,East,4579,0.68,23.02353855,72.47052697610516
shela,3,Carpet Area,962,1058,New Property,Under Construction,8,14,Unfurnished,West,3697,0.65,23.01313705,72.45356756504998
zundal,3,Carpet Area,1020,1122,New Property,Under Construction,5,14,Unfurnished,East,3706,0.69,23.1309,72.5852
shela,3,Super Area,1760,1760,New Property,Under Construction,12,22,Unfurnished,East,3900,0.69,23.01313705,72.45356756504998
shela,3,Carpet Area,962,1058,New Property,Under Construction,11,22,Unfurnished,East,3900,0.68,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Carpet Area,816,898,New Property,Under Construction,3,13,Unfurnished,East,4579,0.68,23.02353855,72.47052697610516
bopal/ghuma/shilaj/ambli,3,Carpet Area,968,1065,New Property,Under Construction,4,14,Unfurnished,East,3800,0.67,23.02353855,72.47052697610516
vaishnodevi circle,2,Carpet Area,690,759,New Property,Ready to Move,8,22,Unfurnished,East,5394,0.65,23.0428,72.5964
gota/jagatpur/newranip/sola,2,Super Area,1269,1269,Resale,Ready to Move,9,12,Furnished,East,5122,0.65,23.1010002,72.5408363
shela,3,Carpet Area,882,970,New Property,Under Construction,8,14,Unfurnished,East,4694,0.69,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Super Area,1755,1755,New Property,Under Construction,6,14,Unfurnished,East,3761,0.66,23.02353855,72.47052697610516
vaishnodevi circle,3,Carpet Area,934,1027,Resale,Ready to Move,2,12,Unfurnished,East,4367,0.68,23.0428,72.5964
shela,3,Super Area,1770,1770,Resale,Ready to Move,1,14,Unfurnished,North - East,3692,0.65,23.01313705,72.45356756504998
vaishnodevi circle,3,Carpet Area,885,974,Resale,Ready to Move,2,12,Unfurnished,East,4675,0.69,23.0428,72.5964
zundal,3,Super Area,1800,1800,New Property,Ready to Move,-2,13,Unfurnished,East,3667,0.66,23.1309,72.5852
shela,3,Carpet Area,1065,1172,New Property,Under Construction,8,21,Unfurnished,East,3406,0.66,23.01313705,72.45356756504998
gota/jagatpur/newranip/sola,2,Carpet Area,684,752,Resale,Ready to Move,4,10,Furnished,East,5812,0.68,23.1010002,72.5408363
gandhinagar highway,2,Super Area,1350,1350,Resale,Ready to Move,3,17,Semi-Furnished,East,4815,0.65,23.0876721,72.6300562
shela,3,Carpet Area,810,891,Resale,Ready to Move,7,14,Unfurnished,East,4666,0.67,23.01313705,72.45356756504998
gota/jagatpur/newranip/sola,3,Carpet Area,990,1089,New Property,Under Construction,5,14,Unfurnished,North - East,3833,0.69,23.1010002,72.5408363
shela,3,Carpet Area,900,990,Resale,Ready to Move,1,14,Unfurnished,East,4424,0.66,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Carpet Area,968,1065,New Property,Under Construction,4,14,Furnished,East,3700,0.65,23.02353855,72.47052697610516
motera,2,Carpet Area,907,998,Resale,Ready to Move,2,3,Furnished,East,5015,0.65,23.0917717,72.59733447335586
shela,3,Carpet Area,954,1049,New Property,Under Construction,5,14,Unfurnished,East,3960,0.69,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Carpet Area,967,1064,New Property,Under Construction,9,14,Unfurnished,East,3800,0.66,23.02353855,72.47052697610516
shela,3,Super Area,1484,1484,New Property,Under Construction,7,14,Unfurnished,East,4365,0.65,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Carpet Area,1015,1116,New Property,Ready to Move,5,14,Unfurnished,East,4000,0.68,23.02353855,72.47052697610516
shela,3,Carpet Area,993,1092,New Property,Ready to Move,7,14,Unfurnished,East,4048,0.67,23.01313705,72.45356756504998
gota/jagatpur/newranip/sola,2,Super Area,1395,1395,Resale,Ready to Move,7,10,Unfurnished,East,4731,0.66,23.1010002,72.5408363
bopal/ghuma/shilaj/ambli,3,Carpet Area,950,1045,Resale,Ready to Move,5,14,Unfurnished,East,4444,0.68,23.02353855,72.47052697610516
shela,3,Carpet Area,860,946,New Property,Ready to Move,10,14,Unfurnished,East,4352,0.66,23.01313705,72.45356756504998
shantipura circle/sanathal,3,Carpet Area,853,938,New Property,Ready to Move,12,14,Unfurnished,East,4258,0.66,22.987597,72.47144058390487
shantipura circle/sanathal,3,Carpet Area,852,937,New Property,Ready to Move,8,14,Unfurnished,East,4194,0.65,22.987597,72.47144058390487
paldi/derasar-rd/ambawadi,2,Carpet Area,756,832,Resale,Ready to Move,1,5,Furnished,East,6878,0.65,23.0145531,72.5635432
gota/jagatpur/newranip/sola,2,Carpet Area,666,733,Resale,Ready to Move,10,13,Furnished,East,5289,0.64,23.1010002,72.5408363
bopal/ghuma/shilaj/ambli,2,Super Area,1260,1260,Resale,Ready to Move,7,11,Furnished,East,5159,0.65,23.02353855,72.47052697610516
zundal,3,Carpet Area,1200,1320,New Property,Under Construction,7,14,Unfurnished,East,3504,0.65,23.1309,72.5852
science city,2,Carpet Area,720,792,Resale,Ready to Move,1,3,Semi-Furnished,North - East,5872,0.65,23.077854,72.49479798780331
chandkheda,3,Carpet Area,1880,2068,Resale,Ready to Move,2,7,Unfurnished,East,3457,0.65,23.1100643,72.5811205
shela,3,Carpet Area,936,1030,Resale,Ready to Move,13,14,Semi-Furnished,East,4514,0.65,23.01313705,72.45356756504998
zundal,3,Carpet Area,940,1034,New Property,Ready to Move,6,13,Unfurnished,West,3500,0.65,23.1309,72.5852
prahlad nagar/jivraj park/vejalpur/jodhpur,2,Super Area,1125,1125,Resale,Ready to Move,2,6,Semi-Furnished,North,5778,0.65,23.0002435,72.5054049
shela,3,Super Area,1655,1655,New Property,Ready to Move,-2,14,Unfurnished,East,4000,0.66,23.01313705,72.45356756504998
zundal,3,Carpet Area,891,980,Resale,Ready to Move,5,7,Semi-Furnished,East,4344,0.65,23.1309,72.5852
bodakdev/satellite/sindhubhavan marg,2,Carpet Area,881,969,Resale,Ready to Move,1,5,Unfurnished,West,6772,0.64,23.0445921,72.517344
vaishnodevi circle,2,Super Area,1300,1300,Resale,Ready to Move,8,11,Semi-Furnished,East,5000,0.65,23.0428,72.5964
prahlad nagar/jivraj park/vejalpur/jodhpur,3,Carpet Area,1170,1287,Resale,Ready to Move,4,9,Semi-Furnished,South,4690,0.65,23.0002435,72.5054049
chandkheda,2,Carpet Area,5706,6277,Resale,Ready to Move,9,14,Furnished,North - East,10252,0.65,23.1100643,72.5811205
gota/jagatpur/newranip/sola,2,Carpet Area,900,990,Resale,Ready to Move,4,13,Unfurnished,East,4981,0.65,23.1010002,72.5408363
shela,3,Carpet Area,817,899,New Property,Ready to Move,6,14,Unfurnished,East,4319,0.65,23.01313705,72.45356756504998
paldi/derasar-rd/ambawadi,2,Carpet Area,700,770,Resale,Ready to Move,1,6,Furnished,East,7222,0.65,23.0145531,72.5635432
motera,2,Carpet Area,747,822,Resale,Ready to Move,3,7,Furnished,East,5652,0.65,23.0917717,72.59733447335586
bodakdev/satellite/sindhubhavan marg,2,Carpet Area,750,825,Resale,Ready to Move,2,10,Semi-Furnished,East,6190,0.65,23.0445921,72.517344
shela,3,Carpet Area,820,902,New Property,Ready to Move,6,13,Unfurnished,East,4491,0.67,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Super Area,1440,1440,Resale,Ready to Move,5,14,Semi-Furnished,East,4514,0.65,23.02353855,72.47052697610516
prahlad nagar/jivraj park/vejalpur/jodhpur,2,Carpet Area,780,858,Resale,Ready to Move,6,11,Unfurnished,North - East,5317,0.67,23.0002435,72.5054049
shela,2,Super Area,1295,1295,Resale,Ready to Move,6,11,Semi-Furnished,East,5019,0.65,23.01313705,72.45356756504998
vaishnodevi circle,2,Carpet Area,816,898,Resale,Ready to Move,-1,13,Semi-Furnished,East,4779,0.65,23.0428,72.5964
narolgam/vatva/ghodasar,2,Super Area,1305,1305,Resale,Ready to Move,2,7,Unfurnished,North,5211,0.68,22.9641614,72.5903337
zundal,3,Carpet Area,1051,1156,New Property,Under Construction,5,14,Unfurnished,North - East,3500,0.65,23.1309,72.5852
gota/jagatpur/newranip/sola,3,Super Area,1525,1525,New Property,Under Construction,5,10,Unfurnished,East,4300,0.66,23.1010002,72.5408363
shela,3,Super Area,1760,1760,Resale,Other,9,14,Unfurnished,East,3693,0.65,23.01313705,72.45356756504998
shela,3,Carpet Area,968,1065,New Property,Under Construction,5,14,Unfurnished,North - East,3700,0.65,23.01313705,72.45356756504998
shela,3,Carpet Area,850,935,New Property,Ready to Move,10,14,Unfurnished,East,4436,0.67,23.01313705,72.45356756504998
gota/jagatpur/newranip/sola,2,Super Area,1350,1350,Resale,Ready to Move,4,10,Unfurnished,East,4815,0.65,23.1010002,72.5408363
zundal,3,Carpet Area,990,1089,New Property,Under Construction,6,14,Unfurnished,East,3550,0.66,23.1309,72.5852
shela,3,Carpet Area,923,1015,New Property,Under Construction,8,21,Unfurnished,East,3900,0.68,23.01313705,72.45356756504998
chharodi/tragad,3,Carpet Area,918,1010,New Property,Ready to Move,9,14,Unfurnished,East,4000,0.67,23.12295955,72.54044594045365
shela,3,Carpet Area,940,1034,New Property,Under Construction,8,14,Unfurnished,East,3693,0.65,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,2,Super Area,1215,1215,Resale,Ready to Move,3,5,Furnished,North - East,5350,0.65,23.02353855,72.47052697610516
gota/jagatpur/newranip/sola,2,Carpet Area,792,871,Resale,Ready to Move,11,13,Unfurnished,East,4718,0.67,23.1010002,72.5408363
zundal,3,Super Area,1566,1566,New Property,Ready to Move,5,7,Semi-Furnished,North,4087,0.64,23.1309,72.5852
khodiyar,3,Carpet Area,861,947,Resale,Ready to Move,7,14,Unfurnished,East,4151,0.65,23.1559206,72.5483
gota/jagatpur/newranip/sola,3,Carpet Area,990,1089,New Property,Under Construction,6,14,Unfurnished,South - East,3778,0.68,23.1010002,72.5408363
paldi/derasar-rd/ambawadi,2,Carpet Area,900,990,Resale,Ready to Move,3,5,Semi-Furnished,East,6244,0.68,23.0145531,72.5635432
bopal/ghuma/shilaj/ambli,3,Carpet Area,966,1063,New Property,Under Construction,5,14,Unfurnished,East,3868,0.68,23.02353855,72.47052697610516
bopal/ghuma/shilaj/ambli,3,Super Area,1790,1790,New Property,Under Construction,7,14,Unfurnished,East,3800,0.68,23.02353855,72.47052697610516
shela,2,Carpet Area,760,836,Resale,Ready to Move,12,13,Unfurnished,West,4514,0.65,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Carpet Area,967,1064,New Property,Under Construction,5,14,Unfurnished,East,3800,0.66,23.02353855,72.47052697610516
shela,3,Carpet Area,968,1065,New Property,Under Construction,5,14,Unfurnished,East,3988,0.69,23.01313705,72.45356756504998
shela,3,Carpet Area,968,1065,New Property,Under Construction,10,14,Unfurnished,East,3800,0.66,23.01313705,72.45356756504998
shela,3,Carpet Area,825,908,New Property,Ready to Move,1,13,Unfurnished,East,4385,0.66,23.01313705,72.45356756504998
zundal,3,Carpet Area,968,1065,New Property,Under Construction,4,14,Unfurnished,East,3469,0.64,23.1309,72.5852
shela,3,Super Area,1750,1750,New Property,Under Construction,14,22,Unfurnished,East,3900,0.68,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Carpet Area,968,1065,New Property,Under Construction,11,14,Unfurnished,East,3900,0.68,23.02353855,72.47052697610516
gota/jagatpur/newranip/sola,2,Carpet Area,777,855,New Property,Under Construction,7,14,Unfurnished,East,4600,0.65,23.1010002,72.5408363
bopal/ghuma/shilaj/ambli,2,Carpet Area,711,782,Resale,Ready to Move,1,12,Furnished,East,5570,0.66,23.02353855,72.47052697610516
shela,3,Carpet Area,968,1065,New Property,Under Construction,17,21,Unfurnished,East,4264,0.72,23.01313705,72.45356756504998
zundal,3,Carpet Area,968,1065,New Property,Under Construction,7,14,Unfurnished,East,3837,0.71,23.1309,72.5852
shela,3,Carpet Area,918,1010,New Property,Under Construction,5,14,Unfurnished,East,4125,0.71,23.01313705,72.45356756504998
paldi/derasar-rd/ambawadi,2,Carpet Area,720,792,Resale,Ready to Move,5,7,Furnished,East,6557,0.72,23.0145531,72.5635432
shela,3,Carpet Area,918,1010,New Property,Under Construction,5,14,Unfurnished,North - East,4300,0.74,23.01313705,72.45356756504998
vaishnodevi circle,3,Super Area,1665,1665,New Property,Under Construction,10,14,Unfurnished,East,4459,0.74,23.0428,72.5964
shela,3,Super Area,1510,1510,New Property,Under Construction,9,14,Unfurnished,North - East,4636,0.7,23.01313705,72.45356756504998
zundal,3,Carpet Area,1050,1155,New Property,Under Construction,7,14,Unfurnished,East,3984,0.73,23.1309,72.5852
gota/jagatpur/newranip/sola,3,Carpet Area,1050,1155,New Property,Under Construction,8,13,Unfurnished,East,4167,0.75,23.1010002,72.5408363
vaishnodevi circle,3,Carpet Area,999,1099,New Property,Under Construction,10,14,Unfurnished,West,4000,0.73,23.0428,72.5964
shela,3,Carpet Area,930,1023,New Property,Under Construction,9,22,Unfurnished,East,4000,0.7,23.01313705,72.45356756504998
vaishnodevi circle,2,Carpet Area,814,895,Resale,Ready to Move,8,14,Unfurnished,North,5283,0.7,23.0428,72.5964
zundal,3,Carpet Area,1101,1211,Resale,Ready to Move,4,12,Unfurnished,East,3976,0.73,23.1309,72.5852
bopal/ghuma/shilaj/ambli,3,Carpet Area,1020,1122,Resale,Other,12,14,Unfurnished,East,4348,0.75,23.02353855,72.47052697610516
vaishnodevi circle,3,Carpet Area,998,1098,New Property,Under Construction,9,11,Unfurnished,East,4065,0.75,23.0428,72.5964
vaishnodevi circle,3,Carpet Area,1000,1100,New Property,Ready to Move,-2,13,Semi-Furnished,East,4204,0.7,23.0428,72.5964
vaishnodevi circle,3,Carpet Area,721,793,New Property,Ready to Move,15,17,Unfurnished,East,5450,0.7,23.0428,72.5964
shela,3,Carpet Area,875,963,New Property,Under Construction,5,14,Unfurnished,East,4658,0.75,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Carpet Area,825,908,New Property,Ready to Move,8,10,Unfurnished,East,4667,0.7,23.02353855,72.47052697610516
shela,3,Super Area,1750,1750,New Property,Under Construction,7,14,Unfurnished,East,4100,0.72,23.01313705,72.45356756504998
shela,3,Carpet Area,820,902,Resale,Ready to Move,4,14,Unfurnished,East,4727,0.7,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Super Area,1440,1440,Resale,Ready to Move,7,14,Unfurnished,North,4861,0.7,23.02353855,72.47052697610516
shela,3,Carpet Area,968,1065,New Property,Ready to Move,7,14,Unfurnished,East,4257,0.74,23.01313705,72.45356756504998
shela,3,Carpet Area,980,1078,New Property,Under Construction,10,14,Unfurnished,East,4100,0.72,23.01313705,72.45356756504998
thaltej,2,Carpet Area,1014,1115,Resale,Ready to Move,8,11,Furnished,North - East,6510,0.75,23.0485393,72.511742
bopal/ghuma/shilaj/ambli,3,Super Area,1755,1755,New Property,Under Construction,9,14,Unfurnished,East,4000,0.7,23.02353855,72.47052697610516
bopal/ghuma/shilaj/ambli,3,Carpet Area,968,1065,New Property,Under Construction,5,14,Unfurnished,East,3989,0.7,23.02353855,72.47052697610516
shela,3,Carpet Area,970,1067,New Property,Under Construction,1,14,Unfurnished,East,4286,0.75,23.01313705,72.45356756504998
vaishnodevi circle,3,Carpet Area,936,1030,New Property,Under Construction,3,14,Unfurnished,North,4056,0.73,23.0428,72.5964
shela,3,Carpet Area,1045,1150,New Property,Under Construction,10,13,Unfurnished,East,4000,0.7,23.01313705,72.45356756504998
shela,3,Carpet Area,875,963,New Property,Under Construction,10,14,Unfurnished,East,4500,0.72,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Super Area,1795,1795,New Property,Under Construction,10,21,Unfurnished,East,4000,0.72,23.02353855,72.47052697610516
bopal/ghuma/shilaj/ambli,3,Carpet Area,968,1065,New Property,Under Construction,7,14,Unfurnished,East,4334,0.7,23.02353855,72.47052697610516
chharodi/tragad,3,Carpet Area,1015,1116,New Property,Under Construction,6,14,Unfurnished,East,4055,0.75,23.12295955,72.54044594045365
gota/jagatpur/newranip/sola,3,Carpet Area,816,898,New Property,Under Construction,10,14,Unfurnished,East,5050,0.75,23.1010002,72.5408363
shela,3,Carpet Area,1759,1935,New Property,Under Construction,8,14,Unfurnished,North - East,4150,0.73,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Carpet Area,968,1065,New Property,Under Construction,5,22,Unfurnished,East,4178,0.75,23.02353855,72.47052697610516
zundal,3,Carpet Area,1044,1148,New Property,Under Construction,5,14,Unfurnished,East,3654,0.74,23.1309,72.5852
bopal/ghuma/shilaj/ambli,3,Super Area,1530,1530,New Property,Under Construction,5,14,Unfurnished,East,4575,0.7,23.02353855,72.47052697610516
shela,3,Carpet Area,836,920,New Property,Under Construction,8,14,Unfurnished,North - East,4058,0.7,23.01313705,72.45356756504998
gota/jagatpur/newranip/sola,3,Carpet Area,990,1089,New Property,Under Construction,7,14,Unfurnished,East,3900,0.7,23.1010002,72.5408363
shela,3,Super Area,1610,1610,Resale,Other,5,14,Unfurnished,East,4596,0.74,23.01313705,72.45356756504998
gota/jagatpur/newranip/sola,3,Carpet Area,887,976,New Property,Under Construction,8,14,Unfurnished,East,4650,0.74,23.1010002,72.5408363
bopal/ghuma/shilaj/ambli,3,Carpet Area,920,1012,New Property,Under Construction,10,14,Unfurnished,East,4046,0.71,23.02353855,72.47052697610516
shela,3,Carpet Area,914,1005,New Property,Under Construction,9,14,Unfurnished,East,4308,0.74,23.01313705,72.45356756504998
bopal/ghuma/shilaj/ambli,3,Carpet Area,962,1058,New Property,Under Construction,5,14,Unfurnished,East,4286,0.75,23.02353855,72.47052697610516
shela,3,Carpet Area,835,919,New Property,Under Construction,7,14,Unfurnished,South -West,4235,0.72,23.01313705,72.45356756504998
gota/jagatpur/newranip/sola,2,Super Area,1413,1413,New Property,Under Construction,3,14,Unfurnished,East,5096,0.72,23.1010002,72.5408363
bopal/ghuma/shilaj/ambli,4,Carpet Area,1755,1931,New Property,Under Construction,7,14,Unfurnished,East,4000,0.7,23.02353855,72.47052697610516
shela,3,Carpet Area,968,1065,New Property,Under Construction,2,22,Unfurnished,West,4201,0.73,23.01313705,72.45356756504998
