location,bhk,built_up_area,transaction,status,totalfloor,furnishing,facing,bathroom,floor_category,luxury_category,price
shela,3,1056,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.67
bopal/ghuma/shilaj/ambli,3,1530,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.69
bopal/ghuma/shilaj/ambli,3,1700,New Property,Under Construction,14,Unfurnished,North - East,2,Mid Floor,Medium,0.65
shela,3,1123,New Property,Under Construction,21,Unfurnished,East,2,Mid Floor,Medium,0.66
zundal,3,1115,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.68
bopal/ghuma/shilaj/ambli,3,1067,New Property,Under Construction,14,Unfurnished,East,2,High Floor,Medium,0.66
shela,3,920,New Property,Under Construction,14,Unfurnished,East,2,Low Floor,Medium,0.66
shela,3,889,New Property,Under Construction,14,Unfurnished,North,2,Mid Floor,Medium,0.65
shela,3,1043,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.69
bopal/ghuma/shilaj/ambli,3,1925,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.64
bopal/ghuma/shilaj/ambli,3,1001,New Property,Under Construction,14,Unfurnished,North - East,2,Mid Floor,Medium,0.67
bopal/ghuma/shilaj/ambli,3,946,New Property,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.68
shela,3,1058,New Property,Under Construction,14,Unfurnished,West,2,Mid Floor,Medium,0.65
zundal,3,1122,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.69
bopal/ghuma/shilaj/ambli,3,898,New Property,Under Construction,13,Unfurnished,East,2,Mid Floor,Medium,0.68
vaishnodevi circle,2,759,New Property,Ready to Move,22,Unfurnished,East,1,Mid Floor,Low,0.65
shela,3,970,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.69
bopal/ghuma/shilaj/ambli,3,1755,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.66
vaishnodevi circle,3,1027,Resale,Ready to Move,12,Unfurnished,East,2,Low Floor,Medium,0.68
shela,3,1770,Resale,Ready to Move,14,Unfurnished,North - East,2,Low Floor,Medium,0.65
vaishnodevi circle,3,974,Resale,Ready to Move,12,Unfurnished,East,2,Low Floor,Medium,0.69
shela,3,1172,New Property,Under Construction,21,Unfurnished,East,2,Mid Floor,Medium,0.66
gota/jagatpur/newranip/sola,2,752,Resale,Ready to Move,10,Furnished,East,1,Mid Floor,Medium,0.68
gandhinagar highway,2,1350,Resale,Ready to Move,17,Semi-Furnished,East,1,Mid Floor,Medium,0.65
shela,3,891,Resale,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.67
gota/jagatpur/newranip/sola,3,1089,New Property,Under Construction,14,Unfurnished,North - East,2,Mid Floor,Medium,0.69
shela,3,990,Resale,Ready to Move,14,Unfurnished,East,2,Low Floor,Medium,0.66
bopal/ghuma/shilaj/ambli,3,1065,New Property,Under Construction,14,Furnished,East,2,Mid Floor,Medium,0.65
motera,2,998,Resale,Ready to Move,3,Furnished,East,1,Low Floor,Medium,0.65
shela,3,1049,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.69
bopal/ghuma/shilaj/ambli,3,1064,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.66
shela,3,1484,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.65
bopal/ghuma/shilaj/ambli,3,1116,New Property,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.68
shela,3,1092,New Property,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.67
gota/jagatpur/newranip/sola,2,1395,Resale,Ready to Move,10,Unfurnished,East,1,Mid Floor,Medium,0.66
bopal/ghuma/shilaj/ambli,3,1045,Resale,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.68
shela,3,946,New Property,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.66
shantipura circle/sanathal,3,938,New Property,Ready to Move,14,Unfurnished,East,2,High Floor,Medium,0.66
shantipura circle/sanathal,3,937,New Property,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.65
paldi/derasar-rd/ambawadi,2,832,Resale,Ready to Move,5,Furnished,East,1,Low Floor,Medium,0.65
gota/jagatpur/newranip/sola,2,733,Resale,Ready to Move,13,Furnished,East,1,Mid Floor,Medium,0.64
bopal/ghuma/shilaj/ambli,2,1260,Resale,Ready to Move,11,Furnished,East,1,Mid Floor,Medium,0.65
zundal,3,1320,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.65
science city,2,792,Resale,Ready to Move,3,Semi-Furnished,North - East,1,Low Floor,Low,0.65
chandkheda,3,2068,Resale,Ready to Move,7,Unfurnished,East,2,Low Floor,Medium,0.65
shela,3,1030,Resale,Ready to Move,14,Semi-Furnished,East,2,High Floor,Medium,0.65
zundal,3,1034,New Property,Ready to Move,13,Unfurnished,West,2,Mid Floor,Medium,0.65
prahlad nagar/jivraj park/vejalpur/jodhpur,2,1125,Resale,Ready to Move,6,Semi-Furnished,North,1,Low Floor,Medium,0.65
zundal,3,980,Resale,Ready to Move,7,Semi-Furnished,East,2,Mid Floor,Medium,0.65
bodakdev/satellite/sindhubhavan marg,2,969,Resale,Ready to Move,5,Unfurnished,West,1,Low Floor,Low,0.64
vaishnodevi circle,2,1300,Resale,Ready to Move,11,Semi-Furnished,East,1,Mid Floor,Medium,0.65
prahlad nagar/jivraj park/vejalpur/jodhpur,3,1287,Resale,Ready to Move,9,Semi-Furnished,South,2,Mid Floor,Medium,0.65
chandkheda,2,6277,Resale,Ready to Move,14,Furnished,North - East,1,Mid Floor,Medium,0.65
gota/jagatpur/newranip/sola,2,990,Resale,Ready to Move,13,Unfurnished,East,1,Mid Floor,Low,0.65
shela,3,899,New Property,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.65
paldi/derasar-rd/ambawadi,2,770,Resale,Ready to Move,6,Furnished,East,1,Low Floor,Medium,0.65
motera,2,822,Resale,Ready to Move,7,Furnished,East,1,Mid Floor,Medium,0.65
bodakdev/satellite/sindhubhavan marg,2,825,Resale,Ready to Move,10,Semi-Furnished,East,1,Low Floor,Low,0.65
shela,3,902,New Property,Ready to Move,13,Unfurnished,East,2,Mid Floor,Medium,0.67
bopal/ghuma/shilaj/ambli,3,1440,Resale,Ready to Move,14,Semi-Furnished,East,2,Mid Floor,Medium,0.65
prahlad nagar/jivraj park/vejalpur/jodhpur,2,858,Resale,Ready to Move,11,Unfurnished,North - East,1,Mid Floor,Low,0.67
shela,2,1295,Resale,Ready to Move,11,Semi-Furnished,East,1,Mid Floor,Medium,0.65
narolgam/vatva/ghodasar,2,1305,Resale,Ready to Move,7,Unfurnished,North,1,Low Floor,Low,0.68
zundal,3,1156,New Property,Under Construction,14,Unfurnished,North - East,2,Mid Floor,Medium,0.65
gota/jagatpur/newranip/sola,3,1525,New Property,Under Construction,10,Unfurnished,East,2,Mid Floor,Medium,0.66
shela,3,1760,Resale,Other,14,Unfurnished,East,2,Mid Floor,Medium,0.65
shela,3,1065,New Property,Under Construction,14,Unfurnished,North - East,2,Mid Floor,Medium,0.65
shela,3,935,New Property,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.67
gota/jagatpur/newranip/sola,2,1350,Resale,Ready to Move,10,Unfurnished,East,1,Mid Floor,Medium,0.65
zundal,3,1089,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.66
shela,3,1015,New Property,Under Construction,21,Unfurnished,East,2,Mid Floor,Medium,0.68
chharodi/tragad,3,1010,New Property,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.67
shela,3,1034,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.65
bopal/ghuma/shilaj/ambli,2,1215,Resale,Ready to Move,5,Furnished,North - East,1,Mid Floor,Medium,0.65
gota/jagatpur/newranip/sola,2,871,Resale,Ready to Move,13,Unfurnished,East,1,High Floor,Medium,0.67
zundal,3,1566,New Property,Ready to Move,7,Semi-Furnished,North,2,Mid Floor,Medium,0.64
khodiyar,3,947,Resale,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.65
gota/jagatpur/newranip/sola,3,1089,New Property,Under Construction,14,Unfurnished,South - East,2,Mid Floor,Medium,0.68
paldi/derasar-rd/ambawadi,2,990,Resale,Ready to Move,5,Semi-Furnished,East,1,Mid Floor,Medium,0.68
bopal/ghuma/shilaj/ambli,3,1063,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.68
bopal/ghuma/shilaj/ambli,3,1790,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.68
shela,2,836,Resale,Ready to Move,13,Unfurnished,West,1,High Floor,Medium,0.65
shela,3,1065,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.69
shela,3,1065,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.66
shela,3,908,New Property,Ready to Move,13,Unfurnished,East,2,Low Floor,Medium,0.66
zundal,3,1065,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.64
bopal/ghuma/shilaj/ambli,3,1065,New Property,Under Construction,14,Unfurnished,East,2,High Floor,Medium,0.68
gota/jagatpur/newranip/sola,2,855,New Property,Under Construction,14,Unfurnished,East,1,Mid Floor,Low,0.65
bopal/ghuma/shilaj/ambli,2,782,Resale,Ready to Move,12,Furnished,East,1,Low Floor,Medium,0.66
shela,3,1065,New Property,Under Construction,21,Unfurnished,East,2,High Floor,Medium,0.72
zundal,3,1065,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.71
shela,3,1010,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.71
paldi/derasar-rd/ambawadi,2,792,Resale,Ready to Move,7,Furnished,East,1,Mid Floor,Medium,0.72
shela,3,1010,New Property,Under Construction,14,Unfurnished,North - East,2,Mid Floor,Medium,0.74
vaishnodevi circle,3,1665,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.74
shela,3,1510,New Property,Under Construction,14,Unfurnished,North - East,2,Mid Floor,Medium,0.7
zundal,3,1155,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.73
gota/jagatpur/newranip/sola,3,1155,New Property,Under Construction,13,Unfurnished,East,2,Mid Floor,Medium,0.75
vaishnodevi circle,3,1099,New Property,Under Construction,14,Unfurnished,West,2,Mid Floor,Medium,0.73
shela,3,1023,New Property,Under Construction,22,Unfurnished,East,2,Mid Floor,Medium,0.7
vaishnodevi circle,2,895,Resale,Ready to Move,14,Unfurnished,North,1,Mid Floor,Low,0.7
zundal,3,1211,Resale,Ready to Move,12,Unfurnished,East,2,Mid Floor,Medium,0.73
bopal/ghuma/shilaj/ambli,3,1122,Resale,Other,14,Unfurnished,East,2,High Floor,Medium,0.75
vaishnodevi circle,3,1098,New Property,Under Construction,11,Unfurnished,East,2,Mid Floor,Medium,0.75
vaishnodevi circle,3,793,New Property,Ready to Move,17,Unfurnished,East,2,High Floor,Medium,0.7
shela,3,963,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.75
bopal/ghuma/shilaj/ambli,3,908,New Property,Ready to Move,10,Unfurnished,East,2,Mid Floor,Medium,0.7
shela,3,1750,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.72
shela,3,902,Resale,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.7
bopal/ghuma/shilaj/ambli,3,1440,Resale,Ready to Move,14,Unfurnished,North,2,Mid Floor,Medium,0.7
shela,3,1065,New Property,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.74
shela,3,1078,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.72
thaltej,2,1115,Resale,Ready to Move,11,Furnished,North - East,1,Mid Floor,Medium,0.75
bopal/ghuma/shilaj/ambli,3,1755,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.7
bopal/ghuma/shilaj/ambli,3,1065,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.7
shela,3,1067,New Property,Under Construction,14,Unfurnished,East,2,Low Floor,Medium,0.75
vaishnodevi circle,3,1030,New Property,Under Construction,14,Unfurnished,North,2,Mid Floor,Medium,0.73
shela,3,1150,New Property,Under Construction,13,Unfurnished,East,2,Mid Floor,Medium,0.7
shela,3,963,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.72
bopal/ghuma/shilaj/ambli,3,1795,New Property,Under Construction,21,Unfurnished,East,2,Mid Floor,Medium,0.72
chharodi/tragad,3,1116,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.75
gota/jagatpur/newranip/sola,3,898,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.75
shela,3,1935,New Property,Under Construction,14,Unfurnished,North - East,2,Mid Floor,Medium,0.73
bopal/ghuma/shilaj/ambli,3,1065,New Property,Under Construction,22,Unfurnished,East,2,Mid Floor,Medium,0.75
zundal,3,1148,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.74
bopal/ghuma/shilaj/ambli,3,1530,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.7
shela,3,920,New Property,Under Construction,14,Unfurnished,North - East,2,Mid Floor,Medium,0.7
gota/jagatpur/newranip/sola,3,1089,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.7
shela,3,1610,Resale,Other,14,Unfurnished,East,2,Mid Floor,Medium,0.74
gota/jagatpur/newranip/sola,3,976,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.74
bopal/ghuma/shilaj/ambli,3,1012,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.71
shela,3,1005,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.74
bopal/ghuma/shilaj/ambli,3,1058,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.75
shela,3,919,New Property,Under Construction,14,Unfurnished,South -West,2,Mid Floor,Medium,0.72
gota/jagatpur/newranip/sola,2,1413,New Property,Under Construction,14,Unfurnished,East,1,Mid Floor,Medium,0.72
bopal/ghuma/shilaj/ambli,4,1931,New Property,Under Construction,14,Unfurnished,East,3,Mid Floor,Medium,0.7
shela,3,1065,New Property,Under Construction,22,Unfurnished,West,2,Low Floor,Medium,0.73
bopal/ghuma/shilaj/ambli,2,908,New Property,Under Construction,14,Unfurnished,East,1,Mid Floor,Low,0.7
bopal/ghuma/shilaj/ambli,3,1086,New Property,Under Construction,14,Unfurnished,West,2,Mid Floor,Medium,0.74
shela,3,1750,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.71
bopal/ghuma/shilaj/ambli,3,1912,New Property,Under Construction,13,Unfurnished,East,2,Mid Floor,Medium,0.71
bopal/ghuma/shilaj/ambli,3,1089,New Property,Under Construction,13,Unfurnished,East,2,Low Floor,Medium,0.71
shela,3,1049,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.75
gota/jagatpur/newranip/sola,3,952,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.75
shela,3,1065,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.72
zundal,3,1116,New Property,Under Construction,13,Unfurnished,East,2,Mid Floor,Medium,0.72
shela,3,1091,New Property,Under Construction,14,Unfurnished,North - West,2,Low Floor,Medium,0.74
motera,3,1089,Resale,Other,13,Unfurnished,East,2,Mid Floor,Medium,0.72
gota/jagatpur/newranip/sola,3,966,Resale,Ready to Move,12,Unfurnished,North,2,Mid Floor,Medium,0.7
prahlad nagar/jivraj park/vejalpur/jodhpur,3,1062,Resale,Ready to Move,11,Semi-Furnished,East,2,Mid Floor,Medium,0.74
bopal/ghuma/shilaj/ambli,3,790,New Property,Under Construction,14,Unfurnished,East,2,Low Floor,Medium,0.73
bopal/ghuma/shilaj/ambli,3,988,New Property,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.71
bopal/ghuma/shilaj/ambli,3,891,Resale,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.7
bopal/ghuma/shilaj/ambli,3,946,Resale,Ready to Move,13,Unfurnished,West,2,High Floor,Medium,0.71
chandkheda,3,1247,New Property,Under Construction,13,Unfurnished,East,2,Mid Floor,Medium,0.73
drive in rd/gurukul/naranpura,2,901,Resale,Ready to Move,11,Unfurnished,East,1,Mid Floor,Low,0.75
shela,3,1142,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.75
bopal/ghuma/shilaj/ambli,3,913,Resale,Ready to Move,14,Furnished,East,2,High Floor,Medium,0.72
vaishnodevi circle,3,793,Resale,Ready to Move,13,Unfurnished,North,2,Low Floor,Medium,0.7
shela,3,967,Resale,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.7
shela,3,897,Resale,Ready to Move,14,Semi-Furnished,East,2,High Floor,Medium,0.72
gandhinagar highway,3,1509,Resale,Ready to Move,12,Furnished,East,2,Mid Floor,Medium,0.75
gandhinagar highway,3,793,Resale,Ready to Move,12,Unfurnished,East,2,Mid Floor,Medium,0.7
bopal/ghuma/shilaj/ambli,3,1162,Resale,Other,14,Unfurnished,East,2,Mid Floor,Medium,0.72
bopal/ghuma/shilaj/ambli,3,1745,New Property,Ready to Move,10,Unfurnished,West,2,Mid Floor,Medium,0.75
zundal,3,1665,Resale,Ready to Move,12,Unfurnished,East,2,Mid Floor,Medium,0.73
bopal/ghuma/shilaj/ambli,3,868,Resale,Ready to Move,14,Semi-Furnished,East,2,Mid Floor,Medium,0.74
shela,3,941,Resale,Ready to Move,13,Semi-Furnished,East,2,Mid Floor,Medium,0.7
vaishnodevi circle,3,908,New Property,Ready to Move,14,Unfurnished,North - East,2,High Floor,Medium,0.75
thaltej,2,836,Resale,Ready to Move,7,Furnished,East,1,Mid Floor,Medium,0.75
gandhinagar highway,3,1119,New Property,Ready to Move,14,Unfurnished,East,2,Low Floor,Medium,0.72
paldi/derasar-rd/ambawadi,3,1336,Resale,Ready to Move,4,Furnished,East,2,Low Floor,Medium,0.75
gota/jagatpur/newranip/sola,2,707,Resale,Ready to Move,7,Furnished,East,1,Mid Floor,Medium,0.75
science city,2,935,Resale,Ready to Move,5,Furnished,East,1,Low Floor,Medium,0.75
gandhinagar highway,3,1650,Resale,Ready to Move,12,Furnished,East,2,High Floor,Medium,0.75
bopal/ghuma/shilaj/ambli,3,1375,Resale,Ready to Move,5,Unfurnished,East,2,Mid Floor,Medium,0.8
paldi/derasar-rd/ambawadi,3,1320,Resale,Ready to Move,10,Semi-Furnished,East,2,Mid Floor,Medium,0.7
prahlad nagar/jivraj park/vejalpur/jodhpur,3,1045,Resale,Ready to Move,11,Semi-Furnished,East,2,Mid Floor,Medium,0.75
bopal/ghuma/shilaj/ambli,3,875,Resale,Ready to Move,13,Furnished,East,2,High Floor,Medium,0.75
bopal/ghuma/shilaj/ambli,3,1078,New Property,Under Construction,22,Unfurnished,East,2,Mid Floor,Medium,0.74
shela,3,891,Resale,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.72
bopal/ghuma/shilaj/ambli,3,1455,Resale,Ready to Move,14,Unfurnished,East,2,Low Floor,Medium,0.75
shela,3,1065,New Property,Under Construction,14,Unfurnished,East,2,Low Floor,Medium,0.73
gota/jagatpur/newranip/sola,3,1109,New Property,Ready to Move,12,Semi-Furnished,East,2,Mid Floor,Medium,0.72
thaltej,2,1170,Resale,Ready to Move,6,Unfurnished,North - East,1,Mid Floor,Medium,0.75
gota/jagatpur/newranip/sola,3,1650,New Property,Ready to Move,13,Unfurnished,East,2,Mid Floor,Medium,0.72
bopal/ghuma/shilaj/ambli,3,1895,New Property,Under Construction,22,Unfurnished,East,2,Mid Floor,Medium,0.72
bopal/ghuma/shilaj/ambli,3,1058,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.73
shela,3,1092,New Property,Ready to Move,14,Semi-Furnished,East,2,Mid Floor,Medium,0.72
bopal/ghuma/shilaj/ambli,3,1450,Resale,Ready to Move,14,Semi-Furnished,East,2,Mid Floor,Medium,0.7
bopal/ghuma/shilaj/ambli,3,861,Resale,Ready to Move,13,Furnished,East,2,Mid Floor,Medium,0.72
paldi/derasar-rd/ambawadi,2,1116,Resale,Ready to Move,12,Furnished,East,1,Mid Floor,Medium,0.75
shela,3,1475,Resale,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.74
shela,3,1475,Resale,Ready to Move,14,Semi-Furnished,East,2,Mid Floor,Medium,0.71
bopal/ghuma/shilaj/ambli,3,1683,Resale,Ready to Move,12,Semi-Furnished,North - East,2,Mid Floor,Medium,0.73
vaishnodevi circle,2,930,Resale,Ready to Move,10,Furnished,East,1,Mid Floor,Medium,0.7
chharodi/tragad,3,1634,Resale,Ready to Move,11,Semi-Furnished,North,2,Mid Floor,Medium,0.7
chharodi/tragad,3,1890,Resale,Ready to Move,11,Unfurnished,East,2,Mid Floor,Medium,0.75
bopal/ghuma/shilaj/ambli,3,897,Resale,Ready to Move,14,Unfurnished,East,2,High Floor,Medium,0.72
bopal/ghuma/shilaj/ambli,3,1755,Resale,Ready to Move,6,Unfurnished,West,2,Mid Floor,Medium,0.75
navrangpura/memnagar/ellisbridge,3,1430,Resale,Ready to Move,8,Furnished,North,2,Mid Floor,Medium,0.75
chankyapuri/ognaj/ghatlodiya,2,908,Resale,Ready to Move,5,Semi-Furnished,West,1,Low Floor,Low,0.7
chandkheda,3,1190,Resale,Ready to Move,5,Furnished,North - East,2,Low Floor,Medium,0.7
shela,3,970,Resale,Ready to Move,13,Unfurnished,East,2,Mid Floor,Medium,0.7
shela,3,1020,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.71
shela,3,970,Resale,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.72
bopal/ghuma/shilaj/ambli,2,1260,Resale,Ready to Move,10,Furnished,South -West,1,Mid Floor,Medium,0.7
shela,3,1065,New Property,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.75
navrangpura/memnagar/ellisbridge,3,1100,Resale,Ready to Move,5,Furnished,East,2,Low Floor,Medium,0.72
bopal/ghuma/shilaj/ambli,3,1535,Resale,Ready to Move,11,Unfurnished,East,2,Mid Floor,Medium,0.75
bodakdev/satellite/sindhubhavan marg,2,1170,Resale,Ready to Move,10,Furnished,North - East,1,Low Floor,Medium,0.7
bopal/ghuma/shilaj/ambli,3,1450,Resale,Ready to Move,12,Unfurnished,East,2,Mid Floor,Medium,0.72
gota/jagatpur/newranip/sola,2,825,Resale,Ready to Move,12,Furnished,East,1,Low Floor,Medium,0.7
bopal/ghuma/shilaj/ambli,3,1435,Resale,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.74
shela,3,1067,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.75
bopal/ghuma/shilaj/ambli,3,1115,Resale,Ready to Move,7,Furnished,East,2,Mid Floor,Medium,0.75
bopal/ghuma/shilaj/ambli,3,872,Resale,Ready to Move,7,Furnished,East,2,Mid Floor,Medium,0.75
bopal/ghuma/shilaj/ambli,3,880,Resale,Ready to Move,7,Semi-Furnished,North - East,2,Low Floor,Medium,0.75
gota/jagatpur/newranip/sola,2,791,Resale,Ready to Move,14,Furnished,East,1,High Floor,Medium,0.7
zundal,3,990,Resale,Ready to Move,7,Unfurnished,West,2,Low Floor,Medium,0.72
bopal/ghuma/shilaj/ambli,3,979,Resale,Ready to Move,12,Unfurnished,East,2,Mid Floor,Medium,0.72
vaishnodevi circle,3,1059,Resale,Ready to Move,7,Unfurnished,East,2,Low Floor,Medium,0.7
shela,3,908,Resale,Ready to Move,14,Semi-Furnished,East,2,High Floor,Medium,0.72
shela,3,948,Resale,Ready to Move,14,Semi-Furnished,East,2,Mid Floor,Medium,0.7
prahlad nagar/jivraj park/vejalpur/jodhpur,2,924,Resale,Ready to Move,14,Unfurnished,East,1,High Floor,Medium,0.75
shela,3,920,Resale,Ready to Move,12,Unfurnished,East,2,Mid Floor,Medium,0.7
gota/jagatpur/newranip/sola,2,891,Resale,Ready to Move,13,Unfurnished,East,1,High Floor,Medium,0.7
bopal/ghuma/shilaj/ambli,2,1045,Resale,Ready to Move,12,Furnished,North,1,Mid Floor,Medium,0.71
makarba/sarkhej,3,1557,Resale,Ready to Move,12,Unfurnished,North,2,Low Floor,Medium,0.71
zundal,3,1436,New Property,Under Construction,14,Unfurnished,East,2,Mid Floor,Medium,0.7
shela,3,935,Resale,Ready to Move,14,Unfurnished,East,2,Mid Floor,Medium,0.7
vaishnodevi circle,3,1045,Resale,Ready to Move,10,Semi-Furnished,North - East,2,Low Floor,Medium,0.74
bodakdev/satellite/sindhubhavan marg,2,1188,Resale,Ready to Move,10,Unfurnished,South - East,1,Mid Floor,Medium,0.75
bopal/ghuma/shilaj/ambli,3,1188,New Property,Under Construction,10,Unfurnished,East,2,Mid Floor,Medium,0.72
bodakdev/satellite/sindhubhavan marg,2,1080,Resale,Ready to Move,10,Furnished,East,1,Mid Floor,Medium,0.72
chandkheda,2,1080,Resale,Ready to Move,10,Furnished,East,1,Mid Floor,Medium,0.71
zundal,3,1228,Resale,Other,14,Unfurnished,East,2,Mid Floor,Medium,0.73
shela,3,1100,New Property,Under Construction,21,Unfurnished,East,2,Mid Floor,Medium,0.7
bopal/ghuma/shilaj/ambli,3,1100,Resale,Ready to Move,6,Unfurnished,West,2,Mid Floor,Medium,0.7
chandkheda,3,1247,Resale,Ready to Move,5,Semi-Furnished,East,2,Mid Floor,Medium,0.73
bopal/ghuma/shilaj/ambli,3,1160,Resale,Ready to Move,10,Unfurnished,East,2,Mid Floor,Medium,0.73
chandkheda,3,1267,Resale,Ready to Move,5,Furnished,East,2,Mid Floor,Medium,0.75
bopal/ghuma/shilaj/ambli,3,1435,Resale,Ready to Move,14,Semi-Furnished,East,2,Mid Floor,Medium,0.72
bopal/ghuma/shilaj/ambli,3,1440,Resale,Ready to Move,14,Semi-Furnished,East,2,Mid Floor,Medium,0.7
bopal/ghuma/shilaj/ambli,3,1440,Resale,Ready to Move,13,Semi-Furnished,North,2,Mid Floor,Medium,0.73
bopal/ghuma/shilaj/ambli,3,1147,Resale,Ready to Move,12,Semi-Furnished,North - East,2,Mid Floor,Medium,0.74
chandkheda,3,1096,Resale,Ready to Move,8,Unfurnished,East,2,Mid Floor,Medium,0.7
bopal/ghuma/shilaj/ambli,3,898,New Property,Ready to Move,14,Semi-Furnished,East,2,Mid Floor,Medium,0.73
bopal/ghuma/shilaj/ambli,3,1745,New Property,Ready to Move,13,Unfurnished,East,2,Mid Floor,Medium,0.8
paldi/derasar-rd/ambawadi,2,970,Resale,Ready to Move,7,Unfurnished,North - East,1,Low Floor,Low,0.75
bodakdev/satellite/sindhubhavan marg,2,869,Resale,Ready to Move,10,Unfurnished,East,1,Mid Floor,Low,0.7
drive in rd/gurukul/naranpura,3,880,Resale,Ready to Move,10,Furnished,North - East,2,Mid Floor,Medium,0.73
chharodi/tragad,3,1150,New Property,Under Construction,13,Unfurnished,East,2,Mid Floor,Medium,0.7
khodiyar,3,1703,New Property,Under Construction,13,Unfurnished,East,2,Low Floor,Medium,0.75
bopal/ghuma/shilaj/ambli,3,1490,Resale,Ready to Move,12,Semi-Furnished,East,2,Mid Floor,Medium,0.75
paldi/derasar-rd/ambawadi,2,837,Resale,Ready to Move,5,Semi-Furnished,South - East,1,Low Floor,Low,0.7
vaishnodevi circle,2,793,Resale,Ready to Move,12,Unfurnished,East,1,Mid Floor,Low,0.71
