location,bhk,built_up_area,transaction,status,totalfloor,furnishing,facing,bathroom,floor_category,luxury_category,price
narolgam/vatva/ghodasar,2,1125,Resale,Ready to Move,5,Semi-Furnished,West,1,Low Floor,Medium,0.24
prahlad nagar/jivraj park/vejalpur/jodhpur,1,700,Resale,Ready to Move,3,Semi-Furnished,East,1,Low Floor,Low,0.26
narolgam/vatva/ghodasar,1,1287,New Property,Ready to Move,8,Semi-Furnished,South - East,1,Mid Floor,Low,0.12
vastral/sardar patel ring rd/odhav,1,426,Resale,Ready to Move,7,Unfurnished,East,1,Mid Floor,Low,0.23
narolgam/vatva/ghodasar,1,594,Resale,Ready to Move,4,Unfurnished,North,1,Mid Floor,Low,0.25
shahibag/khokhra/saraspur,3,900,Resale,Ready to Move,2,Unfurnished,East,2,Low Floor,Medium,0.25
hathijan,2,1055,Resale,Ready to Move,4,Furnished,East,1,Low Floor,Medium,0.21
shahibag/khokhra/saraspur,1,4010,Resale,Ready to Move,3,Unfurnished,East,1,Low Floor,Medium,0.13
vastral/sardar patel ring rd/odhav,1,639,Resale,Ready to Move,7,Unfurnished,North - East,1,Low Floor,Low,0.2
narolgam/vatva/ghodasar,1,4536,Resale,Ready to Move,5,Unfurnished,East,1,Mid Floor,Medium,0.1
nikol,2,936,Resale,Ready to Move,7,Unfurnished,East,1,Mid Floor,Low,0.26
naroda/hansol,1,6966,Resale,Ready to Move,11,Unfurnished,East,1,Mid Floor,Medium,0.19
vastral/sardar patel ring rd/odhav,1,646,New Property,Ready to Move,14,Unfurnished,West,1,High Floor,Low,0.21
narolgam/vatva/ghodasar,1,88,Resale,Ready to Move,4,Unfurnished,East,1,Low Floor,Low,0.27
nikol,2,990,Resale,Ready to Move,3,Furnished,East,1,Low Floor,Medium,0.28
narolgam/vatva/ghodasar,2,990,Resale,Ready to Move,5,Unfurnished,East,1,Low Floor,Low,0.26
changodar/bhat,1,640,Resale,Ready to Move,5,Semi-Furnished,East,1,Low Floor,Low,0.18
narolgam/vatva/ghodasar,2,918,Resale,Ready to Move,5,Unfurnished,North,1,Low Floor,Low,0.18
bopal/ghuma/shilaj/ambli,1,425,Resale,Ready to Move,5,Unfurnished,East,1,Low Floor,Low,0.27
narolgam/vatva/ghodasar,1,385,Resale,Ready to Move,7,Unfurnished,East,1,Low Floor,Low,0.15
narolgam/vatva/ghodasar,1,600,Resale,Ready to Move,4,Unfurnished,East,1,Low Floor,Low,0.15
naroda/hansol,1,891,Resale,Ready to Move,5,Furnished,East,1,Mid Floor,Low,0.29
narolgam/vatva/ghodasar,1,6237,Resale,Ready to Move,4,Semi-Furnished,East,1,Low Floor,Medium,0.17
vastral/sardar patel ring rd/odhav,1,605,Resale,Ready to Move,5,Unfurnished,East,1,Low Floor,Low,0.2
prahlad nagar/jivraj park/vejalpur/jodhpur,1,576,Resale,Ready to Move,4,Semi-Furnished,East,1,Low Floor,Low,0.27
shantipura circle/sanathal,1,450,Resale,Ready to Move,5,Semi-Furnished,West,1,Low Floor,Low,0.19
vastral/sardar patel ring rd/odhav,1,646,Resale,Ready to Move,12,Unfurnished,South,1,Low Floor,Low,0.26
naroda/hansol,1,770,Resale,Ready to Move,7,Unfurnished,North,1,Mid Floor,Low,0.15
prahlad nagar/jivraj park/vejalpur/jodhpur,2,1125,New Property,Under Construction,5,Unfurnished,East,1,Low Floor,Low,0.27
narolgam/vatva/ghodasar,2,1125,Resale,Ready to Move,5,Unfurnished,North - East,1,Mid Floor,Medium,0.28
bopal/ghuma/shilaj/ambli,2,941,Resale,Other,4,Semi-Furnished,North - West,1,Mid Floor,Medium,0.23
zundal,3,108,Resale,Ready to Move,7,Unfurnished,East,2,Low Floor,Medium,0.06
vastral/sardar patel ring rd/odhav,1,646,Resale,Ready to Move,14,Unfurnished,East,1,High Floor,Low,0.21
